1.A.11.1.4	ammonia
1.A.112.2.7	magnesium(2+)|cobalt(2+)
1.A.1.13.10	potassium(1+)|rubidium(1+)
1.A.1.14.1	calcium(2+)
1.A.1.14.6	sodium(1+)
1.A.1.14.7	sodium(1+)
1.A.115.1.1	ion
1.A.1.17.1	potassium(1+)
1.A.16.2.3	formate
1.A.22.1.11	ion
1.A.22.1.3	ion|osmolyte
1.A.22.1.7	ion
1.A.23.1.1	ion|chloride|potassium(1+)|water
1.A.23.1.5	ion
1.A.23.3.4	L-glutamate(1-)
1.A.23.4.6	ion
1.A.26.1.2	calcium(2+)|magnesium(2+)|manganese(2+)
1.A.26.3.1	magnesium(2+)
1.A.28.1.4	urea|N,N'-dimethylurea
1.A.28.1.6	urea
1.A.30.2.9	hydron
1.A.35.2.3	metal cation
1.A.35.3.2	magnesium(2+)|cobalt(2+)
1.A.35.3.5	magnesium(2+)|cobalt(2+)
1.A.35.3.8	magnesium(2+)
1.A.43.1.1	fluoride|chloride
1.A.43.1.4	fluoride|(R)-camphor
1.A.43.1.7	fluoride
1.A.54.4.1	ion
1.A.54.4.2	cation
1.A.54.4.5	cation
1.A.62.2.1	ion|cation|metabolite
1.A.62.2.4	calcium(2+)
1.A.62.3.1	sodium(1+)|potassium(1+)
1.A.78.2.10	potassium(1+)
1.A.8.10.6	water|urea
1.A.8.12.1	water|ammonia|glycerol
1.A.8.12.2	silicic acid
1.A.8.12.4	water|rac-lactic acid|glycerol
1.A.8.12.6	arsenite(3-)|borate
1.A.8.12.7	aluminium(1+)|water
1.A.8.12.9	water
1.A.8.13.2	water|glycerol|carbon dioxide
1.A.8.8.15	water
1.A.8.8.18	water
1.A.8.8.19	water
1.A.8.8.25	water
1.A.8.8.5	water
1.A.9.8.3	ion
1.B.14.4.3	molecule
1.B.76.1.4	copper(2+)
1.B.76.1.8	copper(2+)
1.C.98.1.1	molecule
1.I.1.1.5	protein|(ribonucleotide)n+m
1.I.3.1.1	molecule|macromolecule
1.K.1.1.1	deoxyribonucleic acid
1.R.1.1.1	lipid
1.W.8.1.1	deoxyribonucleic acid
2.A.102.4.7	sulfurous acid
2.A.108.1.4	iron(2+)|iron(3+)
2.A.108.1.7	iron atom
2.A.108.2.10	iron atom
2.A.108.2.1	lead(2+)
2.A.108.2.4	iron atom
2.A.1.14.3	tartrate
2.A.1.15.11	vanillate|methyl vanillate
2.A.1.2.103	tetracycline
2.A.123.2.12	UDP-sugar
2.A.123.2.13	UDP-sugar
2.A.123.2.3	UDP-sugar
2.A.123.2.6	glucose
2.A.123.2.8	UDP-sugar
2.A.1.2.39	tetracycline
2.A.1.2.41	tetracycline|tetracycline
2.A.1.2.75	tetracycline|tetracycline
2.A.130.1.1	protein
2.A.130.1.2	protein
2.A.1.30.1	abietane
2.A.1.3.11	hydron|puromycin|puromycin
